date,precipitation,Anomaly,Anomaly_Score
2019-11-02,40.6,1,0.005807358827634
2019-11-19,42.4,1,0.002682396226017
2019-12-09,95.7,1,0.150279008012127
2020-01-07,73.7,1,0.108091051519818
2020-01-15,40.1,1,0.006558769465285
2020-06-24,53.6,1,0.00894583967652
2020-07-11,62.1,1,0.058116462543584
2020-07-15,48.6,1,0.005851475172993
2020-07-24,35.6,1,0.002015566271437
2020-07-30,35.5,1,0.001587133107298
2020-09-07,62.7,1,0.059147058213454
2020-11-27,191.4,1,0.204998367283083
2020-12-05,126.7,1,0.197673751257416
