date,precipitation
2013-09-07,15.2
2013-09-08,21.0
2013-09-09,19.5
2013-09-10,8.3
2013-09-11,32.7
2013-09-12,0.0
2013-09-13,1.0
2013-09-14,0.0
2013-09-15,2.5
2013-09-16,29.0
2013-09-17,0.0
2013-09-18,0.0
2013-09-19,0.0
2013-09-20,0.0
2013-09-21,0.0
2013-09-22,0.0
2013-09-23,0.0
2013-09-24,0.0
2013-09-25,0.0
2013-09-26,0.0
2013-09-27,0.0
2013-09-28,0.0
2013-09-29,7.0
2013-09-30,0.3
2013-10-01,0.06792196007259528
2013-10-02,0.0
2013-10-03,26.0
2013-10-04,0.0
2013-10-05,0.0
2013-10-06,0.5
2013-10-07,1.0
2013-10-08,0.5
2013-10-09,0.0
2013-10-10,2.0
2013-10-11,40.0
2013-10-12,19.0
2013-10-13,61.1
2013-10-14,5.5
2013-10-15,4.5
2013-10-16,0.0
2013-10-17,0.0
2013-10-18,0.0
2013-10-19,1.0
2013-10-20,2.0
2013-10-21,1.5
2013-10-22,2.0
2013-10-23,54.5
2013-10-24,9.6
2013-10-25,2.4182711198428293
2013-10-26,0.0
2013-10-27,0.0
2013-10-28,0.0
2013-10-29,33.5
2013-10-30,0.0
2013-10-31,4.5
2013-11-01,0.0
2013-11-02,4.5
2013-11-03,11.5
2013-11-04,0.0
2013-11-05,3.1
2013-11-06,0.5
2013-11-07,1.0
2013-11-08,42.5
2013-11-09,0.9
2013-11-10,17.0
2013-11-11,0.0
2013-11-12,1.0
2013-11-13,6.3
2013-11-14,0.0
2013-11-15,1.0
2013-11-16,4.0
2013-11-17,5.2
2013-11-18,3.2
2013-11-19,17.0
2013-11-20,10.5
2013-11-21,30.9
2013-11-22,11.9
2013-11-23,11.0
2013-11-24,1.0
2013-11-25,8.6
2013-11-26,15.0
2013-11-27,0.0
2013-11-28,0.0
2013-11-29,0.6
2013-11-30,1.6528231859883236
2013-12-01,4.0
2013-12-02,22.5
2013-12-03,19.5
2013-12-04,10.5
2013-12-05,3.542168674698795
2013-12-06,0.0
2013-12-07,0.4
2013-12-08,3.7
2013-12-09,6.2
2013-12-10,4.0
2013-12-11,13.5
2013-12-12,2.0
2013-12-13,23.7
2013-12-14,19.424752475247523
2013-12-15,11.0
2013-12-16,0.0
2013-12-17,9.0
2013-12-18,8.5
2013-12-19,8.0
2013-12-20,141.5
2013-12-21,111.5
2013-12-22,44.3
2013-12-23,5.5
2013-12-24,80.0
2013-12-25,126.1
2013-12-26,11.5
2013-12-27,10.8
2013-12-28,5.114597315436242
2013-12-29,0.0
2013-12-30,0.2
2013-12-31,1.4
2014-01-01,2.0
2014-01-02,6.7
2014-01-03,11.5
2014-01-04,4.5
2014-01-05,17.5
2014-01-06,2.1
2014-01-07,1.0
2014-01-08,25.7
2014-01-09,1.2
2014-01-10,0.0
2014-01-11,25.1
2014-01-12,0.0
2014-01-13,0.5
2014-01-14,0.0
2014-01-15,0.0
2014-01-16,1.5
2014-01-17,0.2
2014-01-18,0.0
2014-01-19,0.9
2014-01-20,0.44999999999999996
2014-01-21,0.0
2014-01-22,0.5
2014-01-23,1.0
2014-01-24,0.0
2014-01-25,0.0
2014-01-26,0.0
2014-01-27,0.0
2014-01-28,0.0
2014-01-29,0.0
2014-01-30,0.0
2014-01-31,0.0
2014-02-01,0.0
2014-02-02,0.0
2014-02-03,0.0
2014-02-04,0.0
2014-02-05,0.0
2014-02-06,0.0
2014-02-07,0.0
2014-02-08,0.0
2014-02-09,0.0
2014-02-10,0.0
2014-02-11,0.0
2014-02-12,0.0
2014-02-13,11.6
2014-02-14,67.6
2014-02-15,37.5
2014-02-16,0.0
2014-02-17,0.0
2014-02-18,0.0
2014-02-19,0.0
2014-02-20,6.0
2014-02-21,4.444444444444445
2014-02-22,1.5555555555555554
2014-02-23,0.0
2014-02-24,0.0
2014-02-25,0.0
2014-02-26,0.0
2014-02-27,0.0
2014-02-28,0.0
2014-04-01,0.0
2014-04-02,0.5
2014-04-03,0.0
2014-04-04,0.0
2014-04-05,8.7
2014-04-06,0.0
2014-04-07,0.0
2014-04-08,28.5
2014-04-09,9.5
2014-04-10,0.0
2014-04-11,15.75
2014-04-12,31.5
2014-04-13,1.7
2014-04-14,0.0
2014-04-15,0.0
2014-04-16,0.0
2014-04-17,5.0
2014-04-18,8.8
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,0.0
2014-04-22,0.0
2014-04-23,0.0
2014-04-24,0.0
2014-04-25,0.0
2014-04-26,0.0
2014-04-27,10.0
2014-04-28,0.0
2014-04-29,0.0
2014-04-30,0.0
2014-03-01,0.0
2014-03-02,0.0
2014-03-03,0.0
2014-03-04,0.0
2014-03-05,0.0
2014-03-06,0.0
2014-03-07,0.0
2014-03-08,0.0
2014-03-09,0.0
2014-03-10,0.0
2014-03-11,0.0
2014-03-12,0.0
2014-03-13,0.0
2014-03-14,0.0
2014-03-15,0.0
2014-03-16,0.0
2014-03-17,23.0
2014-03-18,0.0
2014-03-19,0.0
2014-03-20,0.0
2014-03-21,0.0
2014-03-22,0.0
2014-03-23,0.0
2014-03-24,0.0
2014-03-25,0.7
2014-03-26,0.0
2014-03-27,0.0
2014-03-28,0.0
2014-03-29,0.0
2014-03-30,0.0
2014-03-31,0.0
2014-05-01,0.0
2014-05-02,0.0
2014-05-03,0.0
2014-05-04,0.5
2014-05-05,2.5
2014-05-06,2.5
2014-05-07,0.5
2014-05-08,2.4
2014-05-09,1.7
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,21.0
2014-05-13,60.0
2014-05-14,81.0
2014-05-15,2.0
2014-05-16,4.0
2014-05-17,36.5
2014-05-18,1.0
2014-05-19,0.9219244288224957
2014-05-20,0.9
2014-05-21,1.5424418604651162
2014-05-22,3.5
2014-05-23,18.0
2014-05-24,8.8
2014-05-25,5.1827263039117355
2014-05-26,2.4429789368104315
2014-05-27,0.7067421013039126
2014-05-28,0.1
2014-05-29,16.8
2014-05-30,32.0
2014-05-31,0.0
2014-06-01,7.5
2014-06-02,19.501415094339624
2014-06-03,27.3
2014-06-04,0.0
2014-06-05,0.1
2014-06-06,0.5882075471698112
2014-06-07,1.0
2014-06-08,0.5
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,0.0
2014-06-13,42.3
2014-06-14,8.5
2014-06-15,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,0.0
2014-06-19,0.0
2014-06-20,0.0
2014-06-21,0.0
2014-06-22,0.0
2014-06-23,0.0
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,0.0
2014-06-28,58.0
2014-06-29,0.0
2014-06-30,0.0
2014-07-01,5.8
2014-07-02,11.0
2014-07-03,1.0
2014-07-04,0.0
2014-07-05,0.8499999999999999
2014-07-06,1.7
2014-07-07,0.5
2014-07-08,34.8
2014-07-09,6.2
2014-07-10,60.0
2014-07-11,1.5
2014-07-12,0.0
2014-07-13,1.0
2014-07-14,0.0
2014-07-15,0.0
2014-07-16,0.0
2014-07-17,0.5
2014-07-18,3.5
2014-07-19,0.5
2014-07-20,0.0
2014-07-21,0.0
2014-07-22,0.0
2014-07-23,0.0
2014-07-24,0.0
2014-07-25,0.0
2014-07-26,0.0
2014-07-27,0.0
2014-07-28,2.5
2014-07-29,0.0
2014-07-30,1.0
2014-07-31,0.0
2014-08-01,0.3
2014-08-02,47.8
2014-08-03,0.0
2014-08-04,0.0
2014-08-05,0.0
2014-08-06,23.4
2014-08-07,0.0
2014-08-08,0.0
2014-08-09,23.6
2014-08-10,18.369241702198813
2014-08-11,8.227372293286516
2014-08-12,1.5
2014-08-13,0.0
2014-08-14,4.0
2014-08-15,0.2
2014-08-16,5.0
2014-08-17,1.2
2014-08-18,1.9
2014-08-19,0.0
2014-08-20,61.0
2014-08-21,0.6
2014-08-22,0.0
2014-08-23,20.0
2014-08-24,1.0
2014-08-25,17.2
2014-08-26,25.0
2014-08-27,19.2
2014-08-28,1.5
2014-08-29,62.7
2014-08-30,0.0
2014-08-31,22.3
2014-09-01,14.5
2014-09-02,0.0
2014-09-03,0.0
2014-09-04,23.5
2014-09-05,0.0
2014-09-06,43.4
2014-09-07,19.0
2014-09-08,5.9055823569951755
2014-09-09,0.0
2014-09-10,1.4
2014-09-11,18.5
2014-09-12,0.6
2014-09-13,0.0
2014-09-14,6.2
2014-09-15,55.0
2014-09-16,0.0
2014-09-17,0.0
2014-09-18,0.0
2014-09-19,0.8
2014-09-20,0.0
2014-09-21,1.3
2014-09-22,7.0
2014-09-23,0.0
2014-09-24,0.0
2014-09-25,0.0
2014-09-26,0.0
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,3.0
2014-09-30,15.3
2014-10-01,3.8
2014-10-02,0.0
2014-10-03,3.0
2014-10-04,56.8
2014-10-05,6.3
2014-10-06,15.0
2014-10-07,7.5
2014-10-08,0.0
2014-10-09,13.5
2014-10-10,2.0
2014-10-11,15.5
2014-10-12,26.2
2014-10-13,0.0
2014-10-14,0.0
2014-10-15,0.0
2014-10-16,0.0
2014-10-17,0.0
2014-10-18,0.0
2014-10-19,5.5
2014-10-20,0.0
2014-10-21,1.8
2014-10-22,0.0
2014-10-23,0.0
2014-10-24,11.0
2014-10-25,32.0
2014-10-26,0.0
2014-10-27,0.0
2014-10-28,1.5
2014-10-29,52.5
2014-10-30,23.4
2014-10-31,28.5
2014-11-01,0.0
2014-11-02,4.5
2014-11-03,11.5
2014-11-04,0.0
2014-11-05,3.1
2014-11-06,0.5
2014-11-07,1.0
2014-11-08,42.5
2014-11-09,0.9
2014-11-10,17.0
2014-11-11,0.0
2014-11-12,1.0
2014-11-13,6.3
2014-11-14,0.0
2014-11-15,1.0
2014-11-16,4.0
2014-11-17,5.2
2014-11-18,3.2
2014-11-19,17.0
2014-11-20,10.5
2014-11-21,30.9
2014-11-22,11.9
2014-11-23,11.0
2014-11-24,1.0
2014-11-25,8.6
2014-11-26,15.0
2014-11-27,0.0
2014-11-28,0.0
2014-11-29,0.6
2014-11-30,1.6528231859883236
2014-12-01,4.0
2014-12-02,22.5
2014-12-03,19.5
2014-12-04,10.5
2014-12-05,3.542168674698795
2014-12-06,0.0
2014-12-07,0.4
2014-12-08,3.7
2014-12-09,6.2
2014-12-10,4.0
2014-12-11,13.5
2014-12-12,2.0
2014-12-13,23.7
2014-12-14,19.424752475247523
2014-12-15,11.0
2014-12-16,0.0
2014-12-17,9.0
2014-12-18,8.5
2014-12-19,8.0
2014-12-20,141.5
2014-12-21,111.5
2014-12-22,44.3
2014-12-23,5.5
2014-12-24,80.0
2014-12-25,126.1
2014-12-26,11.5
2014-12-27,10.8
2014-12-28,5.114597315436242
2014-12-29,0.0
2014-12-30,0.2
2014-12-31,1.4
2015-01-01,5.0
2015-01-02,6.943494116223803
2015-01-03,10.0
2015-01-04,52.2
2015-01-05,59.22067082683307
2015-01-06,61.6
2015-01-07,10.3
2015-01-08,7.0
2015-01-09,22.0
2015-01-10,13.33525754884547
2015-01-11,3.0
2015-01-12,0.8
2015-01-13,0.934423994546694
2015-01-14,1.3355146557600546
2015-01-15,2.0
2015-01-16,4.7
2015-01-17,7.2
2015-01-18,1.0
2015-01-19,0.4100740740740741
2015-01-20,0.09392592592592597
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,2.25
2015-01-29,4.5
2015-01-30,2.75
2015-01-31,1.0
2015-02-01,1.2452830188679245
2015-02-02,2.0
2015-02-03,8.0
2015-02-04,13.7
2015-02-05,7.3500000000000005
