date,precipitation
2013-01-01,161.5
2013-02-01,364.14543010752686
2013-03-01,14.501470588235293
2013-04-01,203.4443488943489
2013-05-01,211.75848684210527
2013-06-01,194.65
2013-07-01,350.1425976462562
2013-08-01,500.18466244264806
2013-09-01,215.0
2013-10-01,271.1861930799154
2013-11-01,209.8528231859883
2013-12-01,707.3815184653826
2014-01-01,102.35000000000002
2014-02-01,128.7
2014-03-01,23.7
2014-04-01,119.95
2014-05-01,306.4968136313138
2014-06-01,165.28962264150942
2014-07-01,132.35
2014-08-01,365.9966139954853
2014-09-01,215.4055823569952
2014-10-01,305.8
2014-11-01,209.8528231859883
2014-12-01,707.3815184653826
2015-01-01,279.57336114220914
2015-02-01,49.21749204499619
2015-03-01,87.75135379061372
2015-04-01,109.40597982708935
2015-05-01,110.03299690523323
2015-06-01,127.1
2015-07-01,193.45
2015-08-01,237.10631868131873
2015-09-01,201.55452329360782
2015-10-01,223.6188215406342
2015-11-01,486.42500000000007
2015-12-01,357.01781088426196
2016-01-01,179.19592236122088
2016-02-01,107.19999999999999
2016-03-01,7.581818181818181
2016-04-01,138.79999999999998
2016-05-01,235.19238106030997
2016-06-01,494.95992745772736
2016-07-01,182.28116962586196
2016-08-01,189.61922881528145
2016-09-01,438.4717065868263
2016-10-01,482.7523584905661
2016-11-01,454.81392345359694
2016-12-01,577.2053615426454
2017-01-01,200.8748787767904
2017-02-01,125.14377267086672
2017-03-01,508.5873916469661
2017-04-01,277.71961829806355
2017-05-01,505.4941166201118
2017-06-01,336.26451612903224
2017-07-01,370.64707112168503
2017-08-01,410.98867061829907
2017-09-01,456.42218159062463
2017-10-01,791.8933706293707
2017-11-01,545.0408127837622
2017-12-01,197.92973888174143
2018-01-01,406.2622936189202
2018-02-01,49.53770638107988
2018-03-01,133.31060524032273
2018-04-01,129.3985221674877
2018-05-01,178.24999999999997
2018-06-01,239.0
2018-07-01,223.1244168039469
2018-08-01,286.7670884606455
2018-09-01,262.84620253164553
2018-10-01,195.06289792335892
2018-11-01,406.43801156625307
2018-12-01,229.2862842892768
2019-01-01,87.14889048913594
2019-02-01,22.226675977653635
2019-03-01,5.145255474452554
2019-04-01,95.5
2019-05-01,184.89324324324323
2019-06-01,310.5828885028427
2019-07-01,128.6235294117647
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,183.39999999999998
2019-11-01,273.48725992317543
2019-12-01,290.79999999999995
2020-01-01,179.28186929023187
2020-02-01,48.449999999999996
2020-03-01,26.699999999999996
2020-04-01,92.56122047244094
2020-05-01,148.4
2020-06-01,370.87280219780223
2020-07-01,319.17378892733564
2020-08-01,137.98349688846338
2020-09-01,471.35
2020-10-01,230.89999999999998
2020-11-01,483.70313493380456
2020-12-01,225.23823570825118
