date,pr
01-12-2013,4
02-12-2013,22.5
03-12-2013,19.5
04-12-2013,10.5
05-12-2013,
06-12-2013,0
07-12-2013,0.4
08-12-2013,3.7
09-12-2013,6.2
10-12-2013,4
11-12-2013,13.5
12-12-2013,2
13-12-2013,23.7
14-12-2013,
15-12-2013,11
16-12-2013,0
17-12-2013,9
18-12-2013,
19-12-2013,8
20-12-2013,141.5
21-12-2013,111.5
22-12-2013,44.3
23-12-2013,5.5
24-12-2013,80
25-12-2013,126.1
26-12-2013,11.5
27-12-2013,10.8
28-12-2013,
29-12-2013,0
30-12-2013,0.2
31-12-2013,1.4
01-01-2014,2
02-01-2014,6.7
03-01-2014,11.5
04-01-2014,4.5
05-01-2014,17.5
06-01-2014,2.1
07-01-2014,1
08-01-2014,25.7
09-01-2014,1.2
10-01-2014,0
11-01-2014,25.1
12-01-2014,0
13-01-2014,0.5
14-01-2014,0
15-01-2014,0
16-01-2014,1.5
17-01-2014,0.2
18-01-2014,0
19-01-2014,0.9
20-01-2014,
21-01-2014,0
22-01-2014,
23-01-2014,1
24-01-2014,0
25-01-2014,0
26-01-2014,0
27-01-2014,0
28-01-2014,0
29-01-2014,0
30-01-2014,0
31-01-2014,0
01-02-2014,0
02-02-2014,0
03-02-2014,0
04-02-2014,0
05-02-2014,0
06-02-2014,0
07-02-2014,0
08-02-2014,0
09-02-2014,0
10-02-2014,0
11-02-2014,0
12-02-2014,0
13-02-2014,11.6
14-02-2014,67.6
15-02-2014,37.5
16-02-2014,0
17-02-2014,0
18-02-2014,0
19-02-2014,0
20-02-2014,6
21-02-2014,
22-02-2014,
23-02-2014,0
24-02-2014,0
25-02-2014,0
26-02-2014,0
27-02-2014,0
28-02-2014,0
01-04-2014,0
02-04-2014,0.5
03-04-2014,0
04-04-2014,0
05-04-2014,8.7
06-04-2014,0
07-04-2014,0
08-04-2014,28.5
09-04-2014,9.5
10-04-2014,0
11-04-2014,
12-04-2014,31.5
13-04-2014,1.7
14-04-2014,0
15-04-2014,0
16-04-2014,0
17-04-2014,5
18-04-2014,8.8
19-04-2014,0
20-04-2014,0
21-04-2014,0
22-04-2014,0
23-04-2014,0
24-04-2014,
25-04-2014,0
26-04-2014,0
27-04-2014,10
28-04-2014,0
29-04-2014,0
30-04-2014,0
01-03-2014,0
02-03-2014,0
03-03-2014,0
04-03-2014,0
05-03-2014,0
06-03-2014,0
07-03-2014,0
08-03-2014,0
09-03-2014,0
10-03-2014,0
11-03-2014,0
12-03-2014,0
13-03-2014,0
14-03-2014,0
15-03-2014,0
16-03-2014,0
17-03-2014,23
18-03-2014,0
19-03-2014,0
20-03-2014,0
21-03-2014,0
22-03-2014,0
23-03-2014,0
24-03-2014,0
25-03-2014,0.7
26-03-2014,0
27-03-2014,0
28-03-2014,0
29-03-2014,0
30-03-2014,0
31-03-2014,0
01-05-2014,0
02-05-2014,0
03-05-2014,0
04-05-2014,0.5
05-05-2014,2.5
06-05-2014,2.5
07-05-2014,0.5
08-05-2014,2.4
09-05-2014,1.7
10-05-2014,0
11-05-2014,0
12-05-2014,
13-05-2014,
14-05-2014,81
15-05-2014,2
16-05-2014,4
17-05-2014,36.5
18-05-2014,1
19-05-2014,
20-05-2014,0.9
21-05-2014,
22-05-2014,3.5
23-05-2014,18
24-05-2014,8.8
25-05-2014,
26-05-2014,
27-05-2014,
28-05-2014,0.1
29-05-2014,16.8
30-05-2014,32
31-05-2014,0
01-06-2014,7.5
02-06-2014,
03-06-2014,27.3
04-06-2014,0
05-06-2014,0.1
06-06-2014,
07-06-2014,1
08-06-2014,
09-06-2014,0
10-06-2014,0
11-06-2014,0
12-06-2014,0
13-06-2014,42.3
14-06-2014,8.5
15-06-2014,0
16-06-2014,0
17-06-2014,0
18-06-2014,0
19-06-2014,0
20-06-2014,0
21-06-2014,0
22-06-2014,0
23-06-2014,0
24-06-2014,
25-06-2014,0
26-06-2014,0
27-06-2014,0
28-06-2014,58
29-06-2014,0
30-06-2014,0
01-07-2014,5.8
02-07-2014,11
03-07-2014,1
04-07-2014,0
05-07-2014,
06-07-2014,1.7
07-07-2014,0.5
08-07-2014,34.8
09-07-2014,6.2
10-07-2014,60
11-07-2014,1.5
12-07-2014,0
13-07-2014,1
14-07-2014,0
15-07-2014,0
16-07-2014,0
17-07-2014,0.5
18-07-2014,3.5
19-07-2014,0.5
20-07-2014,0
21-07-2014,0
22-07-2014,0
23-07-2014,0
24-07-2014,0
25-07-2014,0
26-07-2014,0
27-07-2014,0
28-07-2014,2.5
29-07-2014,0
30-07-2014,1
31-07-2014,0
01-08-2014,0.3
02-08-2014,47.8
03-08-2014,0
04-08-2014,0
05-08-2014,0
06-08-2014,23.4
07-08-2014,0
08-08-2014,0
09-08-2014,23.6
10-08-2014,
11-08-2014,
12-08-2014,1.5
13-08-2014,0
14-08-2014,4
15-08-2014,0.2
16-08-2014,5
17-08-2014,1.2
18-08-2014,1.9
19-08-2014,0
20-08-2014,61
21-08-2014,0.6
22-08-2014,0
23-08-2014,20
24-08-2014,1
25-08-2014,17.2
26-08-2014,25
27-08-2014,19.2
